"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2023-05-12T18:43:20.113+03:00[Europe/Bucharest]","0.0","0.16"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2023-05-12T18:47:07.713+03:00[Europe/Bucharest]","0.0","24.98"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2023-05-12T18:47:33.249+03:00[Europe/Bucharest]","0.0","10.55"
